"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	30
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	44
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	28
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	42
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	41
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	89
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	70
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	140
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	138
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	181
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	209
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	227
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	246
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	201
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	192
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	145
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	142
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	106
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	110
	"All Invasive Cancer Sites Combined"	"0"	"Santa Rosa, CA"	"42220"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	153
