"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	17
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	26
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	31
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	22
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	58
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	22
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	106
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	55
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	135
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	24
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	125
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	25
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	238
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	32
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	206
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	23
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	224
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	46
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	271
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	36
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	242
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	43
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	325
	"All Invasive Cancer Sites Combined"	"0"	"Akron, OH"	"10420"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	22
