"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	19
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	30
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	27
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	42
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	26
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	80
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	24
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	69
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	62
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	133
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	28
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	97
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	86
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	21
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	169
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	33
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	119
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	124
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	40
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	263
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	140
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	181
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	50
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	459
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	36
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	235
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	90
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	560
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	68
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	484
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	24
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	119
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	774
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	123
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	749
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	34
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	142
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	821
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	22
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	166
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	1016
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	47
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	134
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	1033
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	218
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	1250
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	57
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	120
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	949
	"All Invasive Cancer Sites Combined"	"0"	"San Francisco-Oakland-Hayward, CA"	"41860"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	17
