"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	20
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	33
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	21
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	65
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	23
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	97
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	18
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	42
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	26
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	154
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	19
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	93
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	38
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	170
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	34
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	167
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	40
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	205
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	41
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	243
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	66
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	231
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	59
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	273
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	40
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	229
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	38
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	251
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	19
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	182
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	202
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	18
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	145
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	114
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	150
	"All Invasive Cancer Sites Combined"	"0"	"Winston-Salem, NC"	"49180"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	124
	"Digestive System"	"21010-21130"	"Winston-Salem, NC"	"49180"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	23
