"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	27
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	26
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	28
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	20
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	18
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	21
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	31
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	21
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	24
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	23
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	47
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	20
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	45
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	52
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	91
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	35
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	55
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	95
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	158
	"All Invasive Cancer Sites Combined"	"0"	"Atlanta-Sandy Springs-Roswell, GA"	"12060"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	43
