"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	19
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	40
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	32
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	71
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	39
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	129
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	64
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	25
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	189
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	82
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	38
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	277
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	179
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	61
	"All Invasive Cancer Sites Combined"	"0"	"Cincinnati, OH-KY-IN"	"17140"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	453
