"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	24
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	24
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	21
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	20
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	21
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	26
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	53
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	51
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	86
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	70
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	149
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	91
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	239
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	122
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	20
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	393
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	150
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	35
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	509
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	25
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	289
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	28
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	644
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	46
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	539
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	55
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	945
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	58
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	855
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	23
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	53
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	1097
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	63
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	1139
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	58
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	1400
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	64
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	1535
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	17
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	39
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	1285
	"All Invasive Cancer Sites Combined"	"0"	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	62
