"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	38
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	56
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	58
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	23
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	83
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	42
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	71
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	68
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	124
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	111
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	142
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	121
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	194
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	196
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	122
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	156
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	116
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	142
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	67
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	80
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	90
	"All Invasive Cancer Sites Combined"	"0"	"McAllen-Edinburg-Mission, TX"	"32580"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	96
	"All Invasive Cancer Sites Combined"	"0"	"Memphis, TN-MS-AR"	"32820"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	23
	"All Invasive Cancer Sites Combined"	"0"	"Memphis, TN-MS-AR"	"32820"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	22
	"All Invasive Cancer Sites Combined"	"0"	"Memphis, TN-MS-AR"	"32820"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	28
	"All Invasive Cancer Sites Combined"	"0"	"Memphis, TN-MS-AR"	"32820"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	25
	"All Invasive Cancer Sites Combined"	"0"	"Memphis, TN-MS-AR"	"32820"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	38
