"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	24
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	34
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	18
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	38
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	17
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	41
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	26
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	62
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	30
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	57
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	48
	"All Invasive Cancer Sites Combined"	"0"	"Provo-Orem, UT"	"39340"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	79
