"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	154
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	25
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	144
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	41
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	439
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	21
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	66
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	538
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"1-4 years"	"1-4"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	25
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	42
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	329
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"5-9 years"	"5-9"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	46
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	429
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"5-9 years"	"5-9"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	18
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	49
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	400
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"10-14 years"	"10-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	71
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	425
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	61
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	699
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	18
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	18
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	79
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	698
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"15-19 years"	"15-19"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	21
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	24
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	23
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	111
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	1174
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	45
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	26
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	30
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	96
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	1115
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	33
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	35
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	56
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	222
	"All Invasive Cancer Sites Combined"	"0"	"Other"	"99999"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	2149
