"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	16
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	31
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	72
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	33
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	25
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	68
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	36
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	37
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	108
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	20
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	59
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	48
	"All Invasive Cancer Sites Combined"	"0"	"Jacksonville, FL"	"27260"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	185
