"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	27
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	19
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	33
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	57
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	28
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	93
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	44
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	159
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	76
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	231
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	167
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	277
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	277
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	366
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	18
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	380
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	355
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	16
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	438
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	16
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	312
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	356
	"All Invasive Cancer Sites Combined"	"0"	"Worcester, MA-CT"	"49340"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	255
