"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	17
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	20
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	26
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	18
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	56
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	35
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	24
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	116
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	66
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	33
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	165
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	70
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	62
	"All Invasive Cancer Sites Combined"	"0"	"St. Louis, MO-IL"	"41180"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	200
