"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	17
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	32
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	20
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	17
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	51
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	38
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	18
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	80
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	44
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	30
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	100
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	33
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	118
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	47
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	155
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	50
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	193
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	51
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	168
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	90
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	214
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	43
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	207
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	73
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	326
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	42
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	194
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	52
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	254
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	32
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	151
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	23
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	222
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	101
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	118
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	121
	"All Invasive Cancer Sites Combined"	"0"	"Little Rock-North Little Rock-Conway, AR"	"30780"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	98
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	61
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	60
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	42
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	46
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	60
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	65
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	66
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	122
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	127
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	20
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	152
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	39
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	250
	"All Invasive Cancer Sites Combined"	"0"	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	29
