"Notes"	"Cancer Sites"	"Cancer Sites Code"	"MSA"	"MSA Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	28
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	47
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	24
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	57
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	45
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	103
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	78
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	21
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	126
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	35
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	171
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	23
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	142
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	34
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	194
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	29
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	185
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	47
	"All Invasive Cancer Sites Combined"	"0"	"Chattanooga, TN-GA"	"16860"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	269
